Помимо  - Англии, Шотландии, Уэльса и Сев. Ирландии -Великобритания имеет суверенитет над 17 субъектами. Что  не входит в состав Королевства?;	С. Сандвичевые о-ва,	Гибралтар,	Каймановы остарова,	Виргинские о-ва;	history
Единсветнное место, куда не может войти королева?;	Палата общин,	Верховный суд,	Банк Англии,	Палата лордов;	history
Исторически сложилось, что открывающий заседание английского парламента спикер сидит на мешке, набитым…;	шерстью,	сеном,	пухом,	листвой;	history
У любого гражданина Великобритании есть возможность получить персонализированную открытку-поздравление от Королевы. Что для этого нужно сделать?;	дожить до 100 лет,	защитить докторскую,	стать адмиралом,	спеть на Евровидении;	history
В Англии полицейских называют bobby. В честь кого они получили это прозвище?;	мин. Роберта Пиля ,	Бобба Марли,	Билли Боба Торнтона,	Роберта I Дьявола;	history
Каким морем НЕ омывается Великобритания?;	Балеарское ,	Северное,	Кельтское,	Ирландское;	geo
Одним из деликатесов в ресторанах Великобритании является "Черный пуддинг". За счет какого ингридиента он получил свое название?;	свинная кровь,	черный рис,	черные бобы,	чечевица;	kitchen
Англичане - большие любители выпить. Любимый напиток, измеряющийся пинтами, эль. Сколько миллилитров вмещается в английской пинте?;	568,	480,	530,	589;	kitchen
Сколько камней насчитывает известный в мире Стоунхендж, расположенный на юге Англии?;	117,	91,	101,	150;	lions
Одной из самых популярной достопримечательностью Лондона является Биг Бен. Кто или что есть на самом деле этот Биг Бен?;	колокол в башне,	часы на башне,	часовщик,	персонаж анекдотов;	lions
Самый популярный напиток Шотландии, шотландский виски, был изобретен вовсе не в этой стране. А где?;	Китай,	Россия,	Франция,	Германия; kitchen
Где открылся первый в мире магазин горячего шоколада?;	Лондон,	Йоркшир,	Эдинбург,	Белфаст;	history
Где живёт английская королева?;	Винзорский замок,	Дом на Бейкер стрит,	Колизей,	В пабе;	lions
В этом городе зародилась "битломания".;	Ливерпуль,	Лондон,	Йоркшир,	Эдинбург;	history
Гастрономический секрет от всех бед у англичан.;	Чай,	Кофе,	Грог,	Глинтвейн;	kitchen
Чей музей находится в Лондоне на Бейкер-стрит, 221b?;	Шерлок Холмс,	Робин Гуд,	Оскар Уальд,	Пикассо;	lions
Самая столичная река Англии.;	Темза,	Северн,	Аск,	Уайт;	geo
Когда-то там жил Робин Гуд, а теперь это парковая зона исторического места.;	Шервудский лес,	Булонский лес,	Марсово поле,	Елисейские поля;	lions
Самый известный средневековый замок Англии, ставший её символом.;	Тауэр,	Замок Иф,	Трафальгар,	Хилтон-тауэр;	lions
Где проходит Гринвический (нулевой) меридиан?;	Через Лондон,	Через Ливерпуль,	Через Манчестер,	Через Вашингтон;	geo
Загадочные каменные сооружения в Великобритании.;	Стоунхендж,	Пирамиды,	Дольмены,	Истуканы;	lions
Любимое место свиданий лондонцев, о котором когда-то пели на российской эстраде.;	Пикадилли,	Флит-стрит,	Оксфорд-стрит,	Бонд-стрит;	lions
