0;Галопом по Европам;18;0;Франция, Италия, Испания, Португалия, Англия, Германия, Голандия, Польша, Россия, Швецария;;;;
1;Североамериканское турне;24;0;5хСША 5хМексика;;;;
2;Загадочная Азия;15;0;5хКитай, 5хТайланд;;;;
3;Вокруг света;12;250;Великобритания, Франция, Германия, США, Китай, Тайланд, Россия, Турция,Италия, Испания,Мексика;;;;
4;Кухня старого света;19;275;2хФранция, 2хГермания, 2хВеликобритания, 2хИспания, 2хИталия;;;;
5;Жаркая Африка;13;300;3 Египет, 3 Марокко, 2 Тунис, 2 ЮАР;;;;
6;Морозная Европа;15;325;3 Норвегия, 3 Швеция, 2 Финляндия, 2 Исландия;;;;
7;Пиво, замки и хоккей;20;350;10 Чехия;;;;
8;Кухня Азии;10;375;2 Вьетнам, 2 Монголия, 2 Узбекистан, 2 Китай, 2 Мьянма;;;;
9;Пляжные острова;15;400;2 Канары, 2 Сейшелы, 2 Багамы, 2 Гавайи, 2 Мальдивы;;;;
10;Родина мушкетеров;17;425;10 Франция;;;;
